"LAMAR, CO",-102.6306,38.0936,1105.5,127,203,212,48,336,872,135,704,170,66,49,87
"LAS ANIMAS, CO",-103.2153,38.0636,1185.7,190,138,244,66,352,615,584,796,25,117,68,43
"MONTROSE #2, CO",-107.8792,38.4858,1764.5,42,242,370,242,241,,,14,35,78,193,154
"ROCKY FORD 2 SE, CO",-103.6933,38.0392,1271,265,112,295,83,250,391,650,386,20,190,102,124
"STEAMBOAT SPRINGS, CO",-106.8233,40.4883,2094,586,522,890,526,1198,1255,268,305,334,414,285,630
"TELLURIDE 4WNW, CO",-107.8733,37.9492,2643.2,233,344,746,316,696,379,622,290,46,74,354,415
"TRINIDAD, CO",-104.4869,37.1786,1837.9,210,180,232,283,563,157,805,514,71,280,99,198
"WRAY, CO",-102.2189,40.0583,1121.7,43,46,238,41,854,715,1128,874,177,44,150,195
"GROTON, CT",-72.0394,41.3506,12.2,1572,883,,,,,1522,1334,262,2037,867,
"STAMFORD 5 N, CT",-73.5475,41.1247,57.9,,508,787,1230,1395,,1842,504,211,2362,,
"STORRS, CT",-72.2283,41.795,198.1,1595,682,959,2123,1121,830,877,1924,580,1597,855,1809
"DOVER, DE",-75.5167,39.2583,9.1,630,399,750,1031,893,1698,786,435,417,1038,264,1000
"ARCADIA, FL",-81.8739,27.2181,9.1,1152,526,549,501,1216,1256,1742,2967,606,806,454,664
"BARTOW, FL",-81.8433,27.8986,38.1,701,703,377,596,385,3097,2865,2114,729,1440,260,306
"FEDERAL POINT, FL",-81.5389,29.755,1.5,895,446,575,1180,925,1999,1689,1466,675,1446,698,1378
"FT LAUDERDALE, FL",-80.2011,26.1019,4.9,1150,838,699,310,915,2440,1743,3319,490,1273,1773,2284
"FT MYERS PAGE FLD, FL",-81.8614,26.585,4.6,1296,625,227,580,1415,1555,2664,3381,727,1266,153,1450
"FT PIERCE, FL",-80.3539,27.4622,7.6,1413,290,695,780,1437,1223,2119,1979,1168,1578,804,1357
"INVERNESS 3 SE, FL",-82.3125,28.8031,12.2,1039,341,44,701,356,1824,2957,3316,463,1709,440,851
"KEY WEST INTL AP, FL",-81.7522,24.555,1.2,446,328,457,615,892,224,721,1106,1043,937,264,1960
"LAKE CITY 2 E, FL",-82.5942,30.1853,59.4,1061,454,929,457,222,1330,3236,1723,54,749,951,960
"OCALA, FL",-82.0778,29.0803,22.9,1141,426,122,925,1412,1835,1928,1849,511,1194,321,889
"PENSACOLA RGNL AP, FL",-87.1869,30.4781,34.1,720,578,393,1384,715,1941,1203,3136,0,1191,276,1819
"PERRINE 4W, FL",-80.4361,25.5819,3,538,476,402,898,1122,2722,2857,2639,1039,1095,128,957
"SAINT LEO, FL",-82.26,28.3378,57.9,931,267,241,807,451,3202,1964,1605,618,1628,569,1077
"TALLAHASSEE WSO AP, FL",-84.3533,30.3931,16.8,882,286,761,827,376,1361,2106,1122,0,1106,220,878
"TARPON SPGS SEWAGE PL, FL",-82.7644,28.1586,2.4,1052,585,389,1017,513,3049,2964,3557,1062,1534,480,1039
"TITUSVILLE, FL",-80.8158,28.6242,1.5,1071,706,662,241,1668,3099,2204,2515,793,2311,765,1011
"ALBANY 3 SE, GA",-84.1489,31.5339,54.9,1359,,,,607,3006,,1139,688,,513,1881
"BRUNSWICK, GA",-81.5022,31.1681,4,513,175,,,,1930,773,2230,365,1282,1164,
"CAMILLA 3SE, GA",-84.2036,31.1903,53.3,939,681,1050,1053,551,2451,943,677,490,680,404,998
"DAHLONEGA, GA",-83.99,34.5292,475.5,2096,3224,1501,2313,456,2028,1343,882,94,2496,1074,1670
"EASTMAN 1 W, GA",-83.2058,32.2003,121.9,1256,138,559,830,191,1064,1457,717,178,2648,672,2436
"GAINESVILLE, GA",-83.86,34.3006,356.6,1429,2202,927,1226,849,1401,459,635,0,871,875,1532
"HAWKINSVILLE, GA",-83.4681,33.2842,74.7,1616,185,541,684,506,1327,956,1232,439,1993,691,2735
"NEWNAN 5N, GA",-84.8178,33.4544,272.5,1783,1402,762,1403,711,2076,327,660,122,1103,1305,2044
"ROME, GA",-85.1514,34.2453,200.9,1768,2569,1473,1216,413,910,539,1544,203,2090,810,1801
"SAVANNAH INTL AP, GA",-81.21,32.13,14,648,227,431,634,773,3062,937,862,322,1850,1572,1732
"TALBOTTON, GA",-84.5197,32.6875,195.1,1519,731,1033,1067,724,1754,1066,,76,,754,2162
"TIFTON, GA",-83.4767,31.4461,115.8,841,499,839,312,498,1573,794,1786,254,952,,1404
"TOCCOA, GA",-83.3319,34.5786,308.5,1640,2353,1016,2067,506,1479,1065,824,21,1658,764,1929
"WASHINGTON 2 ESE, GA",-82.7058,33.7264,189,1233,339,456,699,627,1560,642,1109,0,694,694,1868
"WEST POINT, GA",-85.1892,32.8694,175.3,1341,629,950,1721,714,1404,821,1064,399,1092,707,1799
"ABERDEEN EXP STN, ID",-112.8253,42.9536,1342.6,189,676,210,336,257,68,74,51,467,92,41,252
"ASHTON 1N, ID",-111.2739,44.0425,1588.6,,1170,208,539,605,304,163,61,1103,170,,271
